,Customer_ID,Gender,Region,Subscription_Plan,Payment_Method,Age,Days_Since_Last_Login,Customer_Service_Calls,Monthly_Spend,Churn
0,10001,Male,East,Basic,PayPal,27.0,27,1.0,61.08,0
1,10002,Unknown,West,Pro,PayPal,55.0,146,2.0,73.09,0
2,10003,Female,West,Pro,E-Wallet,,147,,,1
3,10004,Female,South,Basic,Credit Card,,34,,,1
4,10005,Male,North,Basic,Crypto,30.0,146,3.0,46.35,1
5,10006,Male,West,Basic,Crypto,46.0,103,1.0,36.64,1
6,10007,Male,South,Basic,E-Wallet,22.0,62,2.0,,1
7,10008,Non-Binary,East,Pro,E-Wallet,44.0,81,2.0,66.51,1
8,10009,Female,East,Pro,Crypto,43.0,6,1.0,99.03,1
9,10010,Female,East,Basic,,32.0,154,3.0,29.86,1
10,10011,Male,East,Basic,,,38,,,1
11,10012,Unknown,South,Basic,E-Wallet,,29,,,0
12,10013,Non-Binary,North,Plus,Credit Card,,22,,,1
13,10014,Male,South,Basic,E-Wallet,,83,,,1
14,10015,Male,North,Plus,E-Wallet,,150,,,1
15,10016,Male,East,Plus,Credit Card,,46,,,0
16,10017,Male,West,Pro,PayPal,,175,,,1
17,10018,Female,West,Pro,,,94,,,1
18,10019,Female,West,Basic,,,62,,,1
19,10020,Male,North,Pro,E-Wallet,,119,,,1
20,10021,Female,East,Basic,,,136,,,0
21,10022,Male,South,Plus,PayPal,,150,2.0,191.92,1
22,10023,Male,West,Basic,Crypto,,116,,108.58,0
23,10024,Male,North,Pro,PayPal,,174,2.0,122.11,1
24,10025,Female,West,Basic,Credit Card,,86,4.0,71.26,0
25,10026,Female,South,Plus,E-Wallet,,73,1.0,167.01,1
26,10027,Male,East,Basic,Credit Card,,65,,,1
27,10028,Female,South,Pro,E-Wallet,,36,1.0,73.77,0
28,10029,Female,East,Basic,Credit Card,,124,2.0,72.01,1
29,10030,Male,East,Basic,Credit Card,,165,4.0,22.69,1
30,10031,Female,East,Pro,Crypto,,0,3.0,92.74,1
31,10032,Male,West,Plus,PayPal,35.0,175,,194.64,1
32,10033,Male,South,Basic,PayPal,,81,,,1
33,10034,Unknown,West,Plus,Credit Card,19.0,34,1.0,150.38,0
34,10035,Unknown,South,Pro,PayPal,38.0,70,1.0,59.33,0
35,10036,Non-Binary,North,Plus,Crypto,27.0,107,5.0,241.32,1
36,10037,Male,North,Basic,Credit Card,,85,,,1
37,10038,Male,South,Basic,PayPal,,24,,,1
38,10039,Female,South,Plus,PayPal,38.0,41,2.0,131.4,1
39,10040,Female,South,Basic,E-Wallet,34.0,150,2.0,,1
40,10041,Male,South,Pro,PayPal,47.0,8,3.0,110.17,0
41,10042,Female,East,Basic,PayPal,37.0,154,3.0,24.14,1
42,10043,Male,West,Basic,E-Wallet,26.0,50,,,0
43,10044,Unknown,East,Pro,Credit Card,34.0,56,4.0,8.77,1
44,10045,Male,West,Pro,Credit Card,30.0,81,4.0,13.47,1
45,10046,Female,West,Pro,,35.0,163,4.0,105.25,1
46,10047,Male,West,Basic,E-Wallet,29.0,161,2.0,36.71,1
47,10048,Female,East,Basic,Credit Card,27.0,12,3.0,1.76,1
48,10049,Female,South,Basic,PayPal,35.0,173,1.0,110.11,1
49,10050,Male,East,Basic,PayPal,34.0,179,1.0,27.85,1
50,10051,Unknown,East,Plus,,44.0,27,2.0,94.4,0
51,10052,Female,West,Pro,,29.0,85,1.0,78.88,1
52,10053,Unknown,North,Basic,Credit Card,14.0,110,2.0,46.92,1
53,10054,Non-Binary,North,Plus,E-Wallet,30.0,157,1.0,139.6,1
54,10055,Female,East,Basic,Credit Card,17.0,44,2.0,22.44,0
55,10056,Unknown,West,Pro,E-Wallet,38.0,37,1.0,109.19,1
56,10057,Male,East,Basic,E-Wallet,17.0,19,2.0,37.98,1
57,10058,Male,East,Pro,Credit Card,24.0,96,1.0,110.17,0
58,10059,Male,South,Basic,,30.0,174,1.0,58.26,1
59,10060,Male,West,Basic,PayPal,49.0,101,2.0,,1
60,10061,Male,North,Basic,E-Wallet,23.0,58,1.0,52.67,1
61,10062,Male,North,Basic,,34.0,141,,54.44,1
62,10063,Non-Binary,North,Basic,Crypto,39.0,41,,39.57,0
63,10064,Male,East,Basic,Crypto,,58,,,1
64,10065,Male,West,Basic,E-Wallet,41.0,7,2.0,,1
65,10066,Female,South,Pro,PayPal,44.0,56,3.0,146.01,1
66,10067,Male,North,Basic,E-Wallet,42.0,149,2.0,52.99,1
67,10068,Non-Binary,West,Pro,Crypto,21.0,101,,111.95,0
68,10069,Male,North,Basic,Crypto,37.0,83,2.0,85.35,1
69,10070,Unknown,South,Plus,Crypto,42.0,20,,193.97,0
70,10071,Female,West,Plus,Credit Card,24.0,127,1.0,195.1,1
71,10072,Male,East,Basic,Crypto,28.0,155,,,1
72,10073,Male,East,Pro,PayPal,25.0,48,1.0,,1
73,10074,Non-Binary,North,Basic,Credit Card,,150,,,0
74,10075,Female,North,Plus,Crypto,33.0,53,,170.01,0
75,10076,Female,West,Pro,PayPal,30.0,150,,98.39,1
76,10077,Female,South,Basic,Crypto,21.0,67,4.0,41.27,0
77,10078,Male,North,Basic,PayPal,33.0,45,3.0,41.42,1
78,10079,Male,West,Basic,PayPal,28.0,155,2.0,35.31,1
79,10080,Male,South,Basic,Crypto,36.0,94,1.0,,1
80,10081,Non-Binary,North,Pro,Crypto,22.0,96,4.0,28.59,1
81,10082,Female,North,Basic,Credit Card,35.0,49,5.0,24.51,1
82,10083,Male,West,Basic,Crypto,29.0,82,3.0,4.32,1
83,10084,Male,North,Basic,PayPal,21.0,62,,12.9,1
84,10085,Male,East,Basic,E-Wallet,,9,,,1
85,10086,Male,South,Basic,Credit Card,22.0,88,,22.64,1
86,10087,Female,South,Plus,PayPal,31.0,164,,169.82,1
87,10088,Female,East,Basic,PayPal,35.0,140,3.0,,0
88,10089,Non-Binary,West,Pro,E-Wallet,36.0,69,1.0,101.97,1
89,10090,Female,East,Basic,Crypto,37.0,29,2.0,,1
90,10091,Male,East,Basic,PayPal,26.0,79,1.0,49.24,1
91,10092,Female,South,Pro,E-Wallet,44.0,71,2.0,52.76,1
92,10093,Female,West,Basic,E-Wallet,29.0,138,,71.49,1
93,10094,Female,North,Basic,Crypto,38.0,122,3.0,,1
94,10095,Female,East,Pro,,,128,,,1
95,10096,Female,East,Basic,E-Wallet,37.0,145,2.0,27.97,1
96,10097,Female,West,Basic,E-Wallet,31.0,99,3.0,43.45,1
97,10098,Female,East,Pro,E-Wallet,37.0,10,3.0,122.37,0
98,10099,Male,West,Pro,E-Wallet,33.0,83,4.0,108.03,1
99,10100,Male,North,Basic,,42.0,137,,,1
100,10101,Male,West,Basic,PayPal,25.0,175,1.0,,1
101,10102,Female,North,Basic,Credit Card,16.0,60,1.0,,1
